order_id,customer_id,region_code,status,order_date
1,77,NORTH,RETURNED,2025-04-25 02:33:10
2,495,WEST,PLACED,2025-12-26 07:20:25
3,169,WEST,RETURNED,2024-12-05 15:19:27
4,55,EAST,PLACED,2025-01-12 06:26:09
5,195,EAST,CANCELLED,2025-12-31 17:08:05
6,289,SOUTH,DELIVERED,2024-10-19 02:41:59
7,51,WEST,CANCELLED,2024-12-02 21:49:17
8,56,NORTH,DELIVERED,2025-07-03 17:51:01
9,90,WEST,DELIVERED,2025-01-07 16:54:20
10,100,SOUTH,PLACED,2024-12-16 07:14:25
11,299,WEST,PLACED,2026-05-22 23:41:35
12,119,WEST,DELIVERED,2025-08-06 09:44:18
13,501,NORTH,DELIVERED,2025-12-17 03:57:14
14,558,SOUTH,CANCELLED,2025-05-20 19:01:16
15,391,SOUTH,DELIVERED,2025-07-17 20:33:03
16,46,WEST,DELIVERED,2025-08-01 20:00:22
17,270,EAST,SHIPPED,2025-10-17 21:00:58
18,64,NORTH,SHIPPED,2024-10-11 04:23:51
19,353,WEST,RETURNED,2026-03-16 04:04:33
20,233,NORTH,RETURNED,2026-05-20 16:17:33
21,-1,WEST,RETURNED,2025-09-25 13:24:34
22,487,SOUTH,RETURNED,2025-08-10 12:52:11
23,-1,WEST,PLACED,2026-07-07 19:41:03
24,36,SOUTH,RETURNED,2024-11-07 00:54:50
25,460,SOUTH,SHIPPED,2025-01-17 04:36:58
26,198,NORTH,SHIPPED,2025-06-30 10:58:39
27,81,SOUTH,CANCELLED,2026-05-06 12:24:08
28,152,EAST,RETURNED,2025-04-10 23:15:35
29,69,WEST,PLACED,2025-10-11 18:04:40
30,407,EAST,RETURNED,2026-06-01 23:19:46
31,283,WEST,RETURNED,2026-07-18 23:50:04
32,13,WEST,RETURNED,2024-11-01 00:12:02
33,425,SOUTH,SHIPPED,2025-10-19 16:46:25
34,597,NORTH,PLACED,2025-10-16 15:52:58
35,104,EAST,DELIVERED,2026-06-18 11:49:10
36,421,WEST,DELIVERED,2025-12-27 04:49:27
37,498,WEST,RETURNED,2024-09-03 17:06:29
38,177,WEST,DELIVERED,2024-11-25 08:18:20
39,-1,WEST,PLACED,2026-06-27 13:33:45
40,340,NORTH,SHIPPED,2026-03-07 20:28:54
41,487,EAST,DELIVERED,2024-08-21 07:51:57
42,346,EAST,DELIVERED,2025-03-11 08:44:16
43,504,SOUTH,PLACED,2024-11-17 23:49:30
44,308,EAST,CANCELLED,2025-03-02 21:02:59
45,427,NORTH,RETURNED,2024-12-29 14:04:21
46,453,WEST,SHIPPED,2026-03-04 02:54:34
47,497,EAST,RETURNED,2026-05-05 07:34:15
48,58,SOUTH,RETURNED,2024-09-25 13:53:11
49,319,WEST,RETURNED,2024-11-18 00:00:00
50,537,NORTH,RETURNED,2024-12-18 13:23:47
51,198,NORTH,SHIPPED,2025-02-15 09:31:59
52,34,NORTH,CANCELLED,2026-07-19 16:02:13
53,370,EAST,SHIPPED,2025-05-18 17:16:30
54,476,WEST,RETURNED,2025-12-12 03:35:41
55,127,SOUTH,PLACED,2025-05-21 21:58:52
56,501,WEST,RETURNED,2024-12-21 13:05:50
57,486,EAST,RETURNED,2025-04-29 23:57:50
58,-1,NORTH,DELIVERED,2025-03-15 00:46:33
59,29,NORTH,CANCELLED,2024-12-10 03:30:41
60,586,SOUTH,SHIPPED,2025-12-21 10:44:00
61,231,EAST,SHIPPED,2025-12-24 17:09:56
62,420,NORTH,RETURNED,2026-06-08 04:34:03
63,10,SOUTH,CANCELLED,2025-12-21 10:34:40
64,178,NORTH,RETURNED,2025-01-26 10:04:23
65,259,EAST,RETURNED,2026-02-10 05:08:35
66,282,WEST,CANCELLED,2026-05-29 01:24:51
67,358,EAST,CANCELLED,2025-01-22 02:24:32
68,-1,WEST,DELIVERED,2025-11-02 14:19:40
69,105,EAST,PLACED,2025-10-15 00:00:00
70,290,NORTH,DELIVERED,2025-08-14 18:57:09
71,66,EAST,DELIVERED,2025-12-16 04:14:56
72,333,EAST,DELIVERED,2025-12-28 05:39:12
73,306,SOUTH,SHIPPED,2025-09-11 09:44:55
74,247,WEST,PLACED,2025-12-31 15:52:30
75,328,NORTH,SHIPPED,2025-12-27 16:14:58
76,510,EAST,DELIVERED,2026-07-11 00:45:15
77,429,WEST,CANCELLED,2026-02-28 20:22:45
78,37,SOUTH,RETURNED,2025-04-29 00:00:00
79,228,WEST,RETURNED,2026-07-10 17:34:34
80,368,EAST,RETURNED,2026-05-24 06:27:16
81,175,SOUTH,RETURNED,2025-03-21 19:13:45
82,100,SOUTH,CANCELLED,2026-03-04 02:25:36
83,265,SOUTH,RETURNED,2026-01-15 13:27:15
84,344,SOUTH,PLACED,2025-05-08 13:39:36
85,229,WEST,DELIVERED,2026-04-09 17:46:04
86,340,EAST,DELIVERED,2025-11-03 10:31:35
87,-1,NORTH,CANCELLED,2025-08-06 02:08:05
88,55,NORTH,RETURNED,2025-08-07 09:30:37
89,200,NORTH,RETURNED,2026-06-10 10:01:39
90,391,EAST,RETURNED,2025-06-22 11:34:29
91,56,SOUTH,SHIPPED,2025-01-08 04:29:47
92,351,WEST,CANCELLED,2024-11-24 20:35:21
93,324,NORTH,SHIPPED,2025-08-19 07:51:47
94,341,EAST,SHIPPED,2025-12-11 10:36:56
95,60,WEST,PLACED,2025-03-06 00:00:00
96,215,SOUTH,SHIPPED,2025-08-20 21:04:33
97,91,WEST,SHIPPED,2025-12-10 15:45:40
98,440,WEST,CANCELLED,2025-08-11 00:00:00
99,393,NORTH,PLACED,2025-09-24 05:07:35
100,205,NORTH,DELIVERED,2026-06-29 10:54:06
101,-1,SOUTH,RETURNED,2024-08-19 12:40:41
102,5,SOUTH,SHIPPED,2026-01-26 06:56:08
103,-1,SOUTH,DELIVERED,2024-10-24 09:19:03
104,393,EAST,RETURNED,2024-12-13 08:10:46
105,67,EAST,PLACED,2025-03-19 12:07:13
106,467,EAST,RETURNED,2025-07-08 10:48:11
107,138,WEST,DELIVERED,2025-05-11 15:37:09
108,193,WEST,SHIPPED,2024-08-20 11:12:30
109,234,SOUTH,SHIPPED,2025-01-16 15:34:07
110,23,SOUTH,RETURNED,2024-11-09 06:36:11
111,376,WEST,PLACED,2026-06-17 10:39:52
112,262,NORTH,RETURNED,2025-11-09 22:14:40
113,50,NORTH,PLACED,2024-09-12 01:51:50
114,119,WEST,CANCELLED,2025-05-27 23:08:29
115,127,EAST,RETURNED,2025-08-09 02:05:10
116,157,NORTH,SHIPPED,2025-03-27 11:54:54
117,431,EAST,PLACED,2025-12-02 08:29:22
118,-1,NORTH,CANCELLED,2025-09-06 23:19:44
119,121,NORTH,DELIVERED,2026-04-07 03:41:07
120,109,SOUTH,CANCELLED,2025-11-21 15:18:50
121,205,SOUTH,DELIVERED,2025-05-10 14:50:38
122,420,SOUTH,DELIVERED,2024-09-05 05:16:23
123,562,SOUTH,CANCELLED,2026-01-22 03:44:53
124,493,SOUTH,DELIVERED,2024-08-07 17:44:15
125,14,NORTH,PLACED,2026-05-16 08:33:12
126,588,SOUTH,CANCELLED,2024-10-14 13:57:36
127,524,NORTH,PLACED,2026-07-09 09:00:27
128,263,WEST,SHIPPED,2025-03-23 12:57:03
129,271,NORTH,CANCELLED,2024-10-22 03:16:13
130,179,EAST,PLACED,2025-05-12 09:35:07
131,321,NORTH,CANCELLED,2024-10-18 09:35:50
132,47,SOUTH,PLACED,2026-01-02 20:31:53
133,175,EAST,DELIVERED,2026-07-01 09:54:03
134,449,EAST,RETURNED,2026-06-18 22:40:06
135,96,EAST,DELIVERED,2024-12-25 15:37:50
136,117,WEST,CANCELLED,2025-07-26 05:11:43
137,279,WEST,CANCELLED,2026-04-18 21:53:50
138,432,NORTH,SHIPPED,2024-11-16 12:53:32
139,61,NORTH,SHIPPED,2025-06-24 18:00:58
140,495,WEST,RETURNED,2024-12-24 09:38:21
141,389,NORTH,DELIVERED,2026-06-06 14:16:31
142,134,WEST,CANCELLED,2024-11-01 08:00:16
143,422,NORTH,CANCELLED,2024-09-23 19:22:01
144,268,NORTH,DELIVERED,2026-02-03 20:48:00
145,538,SOUTH,RETURNED,2026-01-07 21:30:04
146,347,NORTH,RETURNED,2025-07-07 19:34:02
147,255,EAST,CANCELLED,2026-01-03 03:09:38
148,395,NORTH,SHIPPED,2024-08-14 15:46:24
149,161,WEST,RETURNED,2026-05-29 06:43:36
150,508,NORTH,SHIPPED,2026-03-12 06:22:04
151,504,SOUTH,DELIVERED,2025-04-19 15:01:27
152,285,SOUTH,PLACED,2025-10-07 04:40:43
153,388,SOUTH,CANCELLED,2024-10-05 20:12:22
154,471,WEST,CANCELLED,2024-10-12 23:30:23
155,511,EAST,CANCELLED,2024-11-05 19:33:12
156,510,NORTH,PLACED,2025-06-14 23:21:28
157,423,NORTH,PLACED,2026-05-09 02:45:09
158,94,EAST,RETURNED,2026-06-27 23:34:02
159,521,SOUTH,RETURNED,2025-12-27 01:15:03
160,468,EAST,DELIVERED,2026-05-08 15:36:34
161,56,WEST,SHIPPED,2025-04-20 11:06:56
162,574,WEST,RETURNED,2026-02-13 06:10:19
163,373,NORTH,CANCELLED,2024-10-20 07:03:18
164,228,EAST,PLACED,2025-05-08 10:58:04
165,299,EAST,RETURNED,2026-02-01 22:42:59
166,109,SOUTH,PLACED,2025-08-23 02:06:41
167,144,NORTH,CANCELLED,2025-02-19 02:59:37
168,201,NORTH,SHIPPED,2026-07-29 03:11:07
169,403,WEST,SHIPPED,2026-05-08 01:30:02
170,196,NORTH,DELIVERED,2026-03-16 16:59:03
171,425,NORTH,PLACED,2026-03-28 00:00:00
172,462,SOUTH,CANCELLED,2025-08-28 01:32:14
173,5,NORTH,RETURNED,2025-10-09 07:35:01
174,-1,WEST,RETURNED,2026-07-24 14:13:10
175,521,SOUTH,SHIPPED,2026-02-24 00:06:17
176,132,WEST,PLACED,2025-12-29 07:47:32
177,330,WEST,RETURNED,2025-06-26 19:10:26
178,255,WEST,DELIVERED,2025-04-28 22:02:55
179,302,SOUTH,CANCELLED,2024-11-20 22:33:34
180,423,EAST,RETURNED,2026-05-22 10:44:38
181,561,SOUTH,DELIVERED,2025-01-08 15:32:29
182,215,EAST,RETURNED,2026-01-20 22:03:35
183,354,SOUTH,SHIPPED,2025-08-31 23:57:07
184,556,NORTH,DELIVERED,2026-03-19 12:34:18
185,361,WEST,RETURNED,2025-11-01 06:59:37
186,585,EAST,CANCELLED,2026-06-18 04:03:31
187,433,NORTH,PLACED,2024-08-25 05:48:15
188,391,NORTH,SHIPPED,2026-01-08 05:08:27
189,58,EAST,SHIPPED,2026-03-11 07:09:35
190,165,EAST,DELIVERED,2024-11-27 08:19:13
191,64,SOUTH,DELIVERED,2026-03-13 22:42:24
192,555,EAST,PLACED,2026-04-29 21:14:45
193,464,SOUTH,PLACED,2026-03-05 06:16:26
194,575,SOUTH,CANCELLED,2025-09-06 10:58:46
195,295,WEST,PLACED,2025-06-02 15:14:23
196,427,NORTH,DELIVERED,2024-08-15 16:23:13
197,258,WEST,SHIPPED,2026-05-12 06:42:39
198,231,SOUTH,DELIVERED,2026-03-31 11:07:17
199,199,WEST,DELIVERED,2024-12-21 10:09:21
200,77,SOUTH,SHIPPED,2026-02-27 13:34:20
201,527,WEST,PLACED,2024-09-06 04:10:28
202,439,EAST,DELIVERED,2024-11-14 15:18:48
203,165,EAST,RETURNED,2024-08-09 23:55:49
204,339,SOUTH,CANCELLED,2024-09-05 15:14:38
205,158,NORTH,DELIVERED,2026-03-29 12:46:58
206,309,EAST,CANCELLED,2024-10-01 05:17:38
207,326,SOUTH,RETURNED,2024-12-26 00:00:00
208,534,SOUTH,PLACED,2025-06-24 16:13:04
209,557,WEST,RETURNED,2024-10-16 00:41:12
